live_id,started,end,subject,fee,taken,comment_count,score,message_count,user_id,auth_description,status,short_name,live_num,available_num,great_num,answer_count,articles_count,columns_count,favorite_count,favorited_count,follower_count,following_columns_count,following_count,following_favlists_count,following_question_count,following_topic_count,gender,hosted_live_count,logs_count,marked_answers_count,participated_live_count,pins_count,question_count,thanked_count,user_type,voteup_count,business_name,diploma,school,location
9.45E+17,1518145151,1519832776,弃药从文，我在日本学经营学,9.99,110,38,4.76,109,0022b9839fd9b1d3c75a42effabcfdba,主讲人已通过实名认证。,ended,教育,2329,2310,2282,397,7,1,1,2486,1163,5,20,0,439,26,1,1,5,0,7,9,0,323,people,946,,0,上智大学,东京
9.78E+17,1526033100,1527689065,旅游签证考上庆应到庆应高中老师,9.99,76,15,4.93,37,91478513a5c4b7d75aa473874a4f3e1a,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,144,0,0,1,309,389,1,7,0,144,4,0,1,0,0,1,0,0,83,people,119,,0,慶應義塾大学,东京
9.77E+17,1525750020,1527944649,赴日考研：学术写作基础篇（二）,9.99,35,8,4.75,152,4c3e193c8f2d84cca70568dd4b218469,主讲人已通过实名认证。,ended,教育,2329,2310,2282,908,61,1,1,16582,8807,2,1,0,946,5,0,4,39,0,7,4,1,2333,people,6451,高等教育,0,东京大学,东京
9.73E+17,1524728575,1525185102,赴日考研：学术写作基础篇（一）,9.99,62,15,4.8,124,4c3e193c8f2d84cca70568dd4b218469,主讲人已通过实名认证。,ended,教育,2329,2310,2282,908,61,1,1,16582,8807,2,1,0,946,5,0,4,39,0,7,4,1,2333,people,6451,高等教育,0,东京大学,东京
9.54E+17,1520317283,1524491240,辞掉工作去日本-大龄青年的留学之路,9.99,209,33,4.7,104,841b8b46dc50aa6bc0f87ad4a412a297,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,31,0,0,0,12,149,1,13,0,41,17,-1,1,7,0,14,0,1,11,people,39,广告,0,中国传媒大学,东京
9.50E+17,1519368836,1522679411,赴日考研：日语学术写作入门篇,19.99,219,39,4.9,180,4c3e193c8f2d84cca70568dd4b218469,主讲人已通过实名认证。,ended,教育,2329,2310,2282,908,61,1,1,16582,8807,2,1,0,946,5,0,4,39,0,7,4,1,2333,people,6451,高等教育,0,东京大学,东京
9.27E+17,1513855399,1514855703,日语专业本科生的日本考研经验,9.99,94,24,5,81,fdef6b4b70eb85c091a250fe12a66e70,主讲人已通过实名认证。,ended,教育,2329,2310,2282,33,0,0,0,27,265,1,5,0,34,14,0,1,0,0,0,0,0,22,people,38,,,,东京
8.53E+17,1496211397,1497106124,如何不花一分钱完成日本留学,9.99,1872,240,4.7,216,4c3e193c8f2d84cca70568dd4b218469,主讲人已通过实名认证。,ended,教育,2329,2310,2282,908,61,1,1,16582,8807,2,1,0,946,5,0,4,39,0,7,4,1,2333,people,6451,高等教育,0,东京大学,东京
9.37E+17,1516084806,1517577341,从日语零基础到东京大学的考研成功记,9.99,726,116,4.67,152,9eb6a9135bbc175814c915a04a266a89,主讲人已通过实名认证。,ended,教育,2329,2310,2282,155,0,0,0,910,1447,0,11,0,154,2,1,1,0,0,3,0,0,241,people,493,,0,东京大学,东京
9.93E+17,1529562350,1531751383,我是如何合格早稻田大学修士的,9.99,149,45,4.93,68,cbaade7bff50862519c194c5bcccf2d7,主讲人已通过实名认证。,ended,教育,2329,2310,2282,5,0,0,1,0,80,0,1,0,6,0,0,1,0,0,0,0,0,0,people,1,,0,早稻田大学,东京
8.46E+17,1494577786,1495465591,作为世界建筑大师，如何「让建筑消失」,9.99,9585,818,4.05,131,5ff6784275af356ed4483b8ed3d32a21,,ended,设计,380,377,371,1,0,0,0,247,8169,0,1,0,1,5,-1,1,0,0,0,0,0,80,people,604,,,,东京
9.54E+17,1520328355,1521730126,自慰，这种性行为的误区和指南,9.99,86611,15631,4.61,142,7e8ca6a1f697eb8143a2107a4dd64ecf,主讲人已通过实名认证。,ended,医学健康,422,416,415,33,11,1,4,30602,132977,0,86,0,56,16,1,12,108,14,9,37,1,13373,people,50586,,0,哈佛大学 (Harvard University),波士顿
9.24E+17,1512986030,1513436037,作者摄影论Lv1.9：画面的框架、主体与装饰,398,139,20,5,0,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
